,node_1,node_2,start_of_interaction,end_of_interaction,duration,distance,angle
2296,fly7,fly4,19013,19036,24,,
2537,fly5,fly4,19020,19055,36,,
2075,fly7,fly9,19021,19038,18,,
219,fly9,fly5,19032,19048,17,,
2490,fly5,fly1,19034,19051,18,,
1970,fly4,fly7,19040,19074,35,,
2571,fly5,fly7,19046,19063,18,,
1400,fly1,fly7,19059,19174,116,,
280,fly3,fly9,19081,19175,95,,
22,fly9,fly3,19084,19289,206,,
1773,fly6,fly10,19084,19104,21,,
1971,fly4,fly7,19088,19137,50,,
3031,fly10,fly6,19090,19106,17,,
1561,fly6,fly11,19096,19122,27,,
3032,fly10,fly6,19114,19141,28,,
1998,fly4,fly5,19142,19561,420,,
2687,fly8,fly11,19156,19172,17,,
2113,fly7,fly3,19172,19186,15,,
1047,fly11,fly10,19180,19283,104,,
2688,fly8,fly11,19189,19256,68,,
2207,fly7,fly12,19208,19237,30,,
1238,fly12,fly7,19222,19256,35,,
751,fly2,fly8,19236,19255,20,,
563,fly2,fly11,19249,19281,33,,
2931,fly10,fly2,19262,19306,45,,
776,fly2,fly10,19264,19327,64,,
1025,fly11,fly8,19275,19291,17,,
281,fly3,fly9,19288,19309,22,,
1048,fly11,fly10,19288,19333,46,,
843,fly11,fly2,19303,19352,50,,
564,fly2,fly11,19304,19327,24,,
1073,fly12,fly9,19314,19342,29,,
1158,fly12,fly1,19343,19478,136,,
1359,fly1,fly12,19347,19589,243,,
1049,fly11,fly10,19375,19402,28,,
974,fly11,fly7,19379,19415,37,,
2187,fly7,fly11,19380,19408,29,,
1218,fly12,fly4,19416,19529,114,,
1050,fly11,fly10,19419,19449,31,,
975,fly11,fly7,19438,19456,19,,
2382,fly7,fly10,19439,19454,16,,
282,fly3,fly9,19439,19465,27,,
3080,fly10,fly7,19444,19460,17,,
23,fly9,fly3,19461,19506,46,,
1903,fly4,fly12,19467,19550,84,,
1261,fly12,fly5,19468,19578,111,,
2149,fly7,fly2,19471,19487,17,,
708,fly2,fly7,19472,19493,22,,
2960,fly10,fly11,19489,19522,34,,
